File,Raw,ZIP,PNG,RLE,JP2,CTL
(0105)-1-106.dcm,524288,239042,220505,246790,253523,1
(0106)-1-107.dcm,524288,238802,220244,245956,253664,1
(0107)-1-108.dcm,524288,238942,220520,244874,253635,1
(0108)-1-109.dcm,524288,238616,220503,244922,253650,1
(0109)-1-110.dcm,524288,237618,219486,244040,253416,1
(0110)-1-111.dcm,524288,236397,219397,243408,253409,1
(0111)-1-112.dcm,524288,235501,219461,242290,253793,1
(0112)-1-113.dcm,524288,234952,219552,241802,254170,1
(0113)-1-114.dcm,524288,234845,219728,240608,254576,1
(0114)-1-115.dcm,524288,235284,219715,240300,255153,1
(0115)-1-116.dcm,524288,234883,219692,239584,255440,1
(0116)-1-117.dcm,524288,234672,219380,238782,255453,1
(0117)-1-118.dcm,524288,234559,219565,237954,255731,1
(0118)-1-119.dcm,524288,234759,220167,237726,256013,1
(0119)-1-120.dcm,524288,234825,219444,237568,255847,1
(0120)-1-121.dcm,524288,235090,219499,237128,255844,1
(0121)-1-122.dcm,524288,235233,219588,237090,255941,1
(0122)-1-123.dcm,524288,235102,218658,236780,255785,1
(0123)-1-124.dcm,524288,234872,218345,236612,255377,1
(0124)-1-125.dcm,524288,234086,218176,235910,254961,1
(0125)-1-126.dcm,524288,233795,218027,235122,254648,1
(0126)-1-127.dcm,524288,233910,217452,235234,254221,1
(0127)-1-128.dcm,524288,234099,217132,235488,254247,1
(0128)-1-129.dcm,524288,234136,217887,235456,254219,1
(0129)-1-130.dcm,524288,234136,217988,235468,254156,1
(0130)-1-131.dcm,524288,234473,218287,235962,254497,1
(0131)-1-132.dcm,524288,234762,217939,235950,254725,1
(0132)-1-133.dcm,524288,234691,219529,235912,254947,1
(0133)-1-134.dcm,524288,234817,219086,236090,254799,1
(0134)-1-135.dcm,524288,234843,218749,236232,254851,1
(0135)-1-136.dcm,524288,235029,218893,236284,254909,1
(0136)-1-137.dcm,524288,235497,218567,236200,254978,1
(0137)-1-138.dcm,524288,236029,218959,236384,255128,1
(0138)-1-139.dcm,524288,235893,218599,236682,255270,1
(0139)-1-140.dcm,524288,235380,218770,236414,255021,1
(0140)-1-141.dcm,524288,235074,218678,236778,255158,1
(0141)-1-142.dcm,524288,235164,219029,236946,255199,1
(0142)-1-143.dcm,524288,235864,219331,236974,255448,1
(0143)-1-144.dcm,524288,236069,219880,237492,255799,1
(0144)-1-145.dcm,524288,236222,220643,237402,255946,1
(0145)-1-146.dcm,524288,236214,220348,237546,255779,1
(0146)-1-147.dcm,524288,235826,220013,237408,255675,1
(0147)-1-148.dcm,524288,235883,219422,237472,255102,1
(0148)-1-149.dcm,524288,235565,219024,237380,254924,1
(0149)-1-150.dcm,524288,235377,218830,236986,254565,1
(0150)-1-151.dcm,524288,235279,219176,237262,254552,1
(0151)-1-152.dcm,524288,235367,218515,237712,254350,1
(0152)-1-153.dcm,524288,235332,218942,237684,254476,1
(0153)-1-154.dcm,524288,235122,218287,237540,254324,1
(0154)-1-155.dcm,524288,234859,217540,237280,254040,1
(0155)-1-156.dcm,524288,233863,216818,236512,253551,1
(0156)-1-157.dcm,524288,233420,217309,236590,253082,1
(0157)-1-158.dcm,524288,233256,215965,236334,253130,1
(0158)-1-159.dcm,524288,233337,216012,236620,253389,1
(0159)-1-160.dcm,524288,233434,217191,237028,253874,1
(0160)-1-161.dcm,524288,233753,217724,237240,254255,1
(0161)-1-162.dcm,524288,234083,218699,237074,254434,1
(0162)-1-163.dcm,524288,234129,218509,237272,254394,1
(0163)-1-164.dcm,524288,234361,217828,237484,254506,1
(0164)-1-165.dcm,524288,234504,218343,237480,254552,1
(0165)-1-166.dcm,524288,234492,217588,237626,254349,1
(0166)-1-167.dcm,524288,234046,218269,237528,254151,1
(0167)-1-168.dcm,524288,233926,218358,237176,254000,1
(0168)-1-169.dcm,524288,233554,217774,237348,253731,1
(0169)-1-170.dcm,524288,232849,217182,237174,253488,1
